ID_ENTIDAD,ENTIDAD,TOTAL_OPINIONES,LISTA_NOMINAL_MRCP,OPINION_SI,OPINION_NO,Porcentaje_participacion
1,Aguascalientes,38474,1023134,37527,666,3.760406750239949
2,Baja California,147144,2930779,145120,1560,5.020644681840562
3,Baja California Sur,31428,563914,31013,326,5.573190238227815
4,Campeche,65879,669841,65106,526,9.835020549652828
5,Coahuila,115873,2276476,114130,1289,5.090016323475407
6,Colima,36220,558717,35750,341,6.482709493357102
7,Chiapas,319738,3663779,310429,6125,8.727000182052466
8,Chihuahua,90606,2908443,88749,1494,3.115275080171762
9,Ciudad De México,806693,7768687,787558,14717,10.383903998191716
10,Durango,53050,1341701,51644,933,3.9539360856107284
11,Guanajuato,179026,4605553,174605,3259,3.887177066467371
12,Guerrero,280126,2579551,274085,3400,10.859486786653957
13,Hidalgo,233079,2252555,228191,3068,10.347316713687347
14,Jalisco,250608,6229624,245114,3937,4.022843112200672
15,México,1005074,12400467,979891,18620,8.105130234208115
16,Michoacán,204693,3583329,200784,2649,5.712369698679636
17,Morelos,133953,1498307,130396,1451,8.940290607999563
18,Nayarit,54278,896692,53525,541,6.053137532173812
19,Nuevo León,146056,4202726,142701,2606,3.4752681949763082
20,Oaxaca,309365,2997840,302100,4414,10.319596776345636
21,Puebla,409226,4759751,397270,6713,8.597634624164163
22,Querétaro,93532,1744378,91771,1293,5.36191123712865
23,Quintana Roo,89147,1328062,87835,850,6.712563118288152
24,San Luis Potosí,101374,2074340,98335,2134,4.887048410578786
25,Sinaloa,115997,2260563,114320,1238,5.131332327389239
26,Sonora,117016,2196722,115309,986,5.326846091585553
27,Tabasco,198270,1759522,194876,1711,11.268401304445185
28,Tamaulipas,178254,2744953,174721,2801,6.493881680305637
29,Tlaxcala,113854,976357,112145,1166,11.661103469325257
30,Veracruz,604881,5989973,588949,10038,10.098225818380149
31,Yucatán,99158,1668641,97200,1352,5.942440584883148
32,Zacatecas,41136,1216320,40236,741,3.3820047355958955
