"CVEGEO","RESULTADO_LAB","Casos","CVE_ENT"
"14001",1,20,"14"
"14002",1,67,"14"
"14003",1,74,"14"
"14004",1,15,"14"
"14005",1,14,"14"
"14006",1,173,"14"
"14007",1,11,"14"
"14008",1,81,"14"
"14009",1,16,"14"
"14010",1,34,"14"
"14011",1,7,"14"
"14012",1,5,"14"
"14013",1,359,"14"
"14014",1,12,"14"
"14015",1,324,"14"
"14016",1,45,"14"
"14017",1,21,"14"
"14018",1,283,"14"
"14019",1,14,"14"
"14020",1,14,"14"
"14021",1,86,"14"
"14022",1,105,"14"
"14023",1,903,"14"
"14024",1,79,"14"
"14025",1,135,"14"
"14026",1,13,"14"
"14027",1,21,"14"
"14028",1,16,"14"
"14029",1,23,"14"
"14030",1,73,"14"
"14031",1,4,"14"
"14032",1,6,"14"
"14033",1,21,"14"
"14034",1,1,"14"
"14035",1,60,"14"
"14036",1,13,"14"
"14037",1,79,"14"
"14038",1,2,"14"
"14039",1,10670,"14"
"14040",1,1,"14"
"14041",1,8,"14"
"14042",1,12,"14"
"14043",1,70,"14"
"14044",1,95,"14"
"14045",1,18,"14"
"14046",1,22,"14"
"14047",1,66,"14"
"14048",1,25,"14"
"14049",1,17,"14"
"14050",1,86,"14"
"14051",1,69,"14"
"14052",1,4,"14"
"14053",1,444,"14"
"14054",1,18,"14"
"14055",1,30,"14"
"14057",1,9,"14"
"14058",1,57,"14"
"14059",1,38,"14"
"14060",1,11,"14"
"14061",1,14,"14"
"14062",1,2,"14"
"14063",1,330,"14"
"14064",1,101,"14"
"14065",1,25,"14"
"14066",1,99,"14"
"14067",1,2375,"14"
"14068",1,23,"14"
"14069",1,10,"14"
"14070",1,471,"14"
"14071",1,3,"14"
"14072",1,38,"14"
"14073",1,221,"14"
"14074",1,24,"14"
"14075",1,8,"14"
"14076",1,5,"14"
"14077",1,51,"14"
"14078",1,33,"14"
"14079",1,91,"14"
"14080",1,3,"14"
"14081",1,4,"14"
"14082",1,67,"14"
"14083",1,290,"14"
"14084",1,24,"14"
"14085",1,319,"14"
"14086",1,23,"14"
"14087",1,37,"14"
"14088",1,16,"14"
"14089",1,5,"14"
"14090",1,2,"14"
"14091",1,115,"14"
"14092",1,12,"14"
"14093",1,546,"14"
"14094",1,52,"14"
"14095",1,15,"14"
"14096",1,28,"14"
"14097",1,1496,"14"
"14098",1,2150,"14"
"14099",1,18,"14"
"14100",1,30,"14"
"14101",1,1814,"14"
"14102",1,10,"14"
"14103",1,15,"14"
"14104",1,11,"14"
"14105",1,34,"14"
"14106",1,11,"14"
"14107",1,7,"14"
"14108",1,144,"14"
"14109",1,44,"14"
"14110",1,15,"14"
"14111",1,22,"14"
"14112",1,13,"14"
"14113",1,21,"14"
"14114",1,34,"14"
"14115",1,2,"14"
"14116",1,33,"14"
"14117",1,5,"14"
"14118",1,57,"14"
"14119",1,79,"14"
"14120",1,5393,"14"
"14121",1,99,"14"
"14122",1,14,"14"
"14123",1,27,"14"
"14124",1,78,"14"
"14125",1,7,"14"
