"Entidad","sol_2012","sol_2013","sol_2014","sol_2015","sol_2016","sol_2017","sol_2018","sol_2019","sol_2020","sol_Total"
"Ciudad de México",1,26,11,19,15,21,13,29,8,143
"Guerrero",3,3,7,10,11,8,13,21,4,80
"Veracruz de Ignacio de La Llave",0,9,8,24,10,6,3,9,8,77
"Oaxaca",3,6,5,2,4,9,13,15,4,61
"México",1,9,2,4,7,6,2,14,1,46
"Chiapas",0,6,1,5,6,3,6,10,2,39
"Tamaulipas",1,1,2,2,2,17,5,4,1,35
"Quintana Roo",0,2,0,5,1,4,10,11,1,34
"Michoacan de Ocampo",1,3,4,2,3,5,2,7,4,31
"Morelos",0,1,1,2,3,10,3,6,1,27
"Puebla",0,0,2,4,2,6,6,5,2,27
"Chihuahua",3,6,2,3,1,4,3,2,2,26
"Coahuila de Zaragoza",3,3,1,2,5,6,5,1,0,26
"Sonora",0,3,1,2,6,1,2,6,5,26
"Baja California",1,2,3,2,2,2,7,4,2,25
"Jalisco",2,4,1,4,1,1,1,6,3,23
"San Luís Potosi",0,2,1,3,3,7,2,2,0,20
"Sinaloa",0,2,0,2,2,6,0,4,1,17
"Guanajuato",0,1,1,0,0,4,4,4,1,15
"Querétaro de Arteaga",0,0,0,4,5,2,0,3,1,15
"Hidalgo",0,3,1,0,0,0,3,5,1,13
"Baja California Sur",0,0,2,0,1,5,2,2,0,12
"Yucatán",0,0,2,2,0,1,1,3,1,10
"Nayarit",0,0,0,1,0,2,1,3,2,9
"Tabasco",0,1,2,1,1,2,1,1,0,9
"Nuevo León",0,0,0,1,2,0,0,4,0,7
"Tlaxcala",0,3,0,0,0,0,1,2,1,7
"Campeche",0,0,1,0,3,0,1,0,0,5
"Zacatecas",0,1,1,0,1,1,0,1,0,5
"Aguascalientes",0,1,0,0,0,2,0,0,0,3
"Colima",0,0,1,1,0,1,0,0,0,3
"Durango",0,1,0,0,0,0,0,0,0,1
"Total",19,99,63,107,97,142,110,184,56,877
